倉庫ID,業務区分ID,商品ID,week_code,合計出荷数
7,4,100013,240819w,10.0
7,4,100013,250630w,100.0
7,4,100013,250707w,5.0
7,4,100013,250714w,105.0
7,4,100013,250721w,110.0
7,4,100013,250728w,205.0
7,4,100013,250804w,15.0
7,4,100013,250818w,110.0
7,4,100013,250825w,115.0
7,4,100013,250901w,15.0
7,4,100013,250908w,220.0
7,4,100013,250915w,208.0
7,4,100013,250922w,100.0
7,4,100013,250929w,110.0
7,4,100013,251006w,15.0
7,4,100013,251013w,320.0
7,4,100013,251020w,100.0
7,4,100013,251027w,400.0
7,4,100013,251103w,20.0
7,4,100013,251117w,235.0
7,4,100013,251124w,110.0
7,4,100013,251201w,51.0
7,4,100013,251208w,210.0
7,4,100013,251215w,520.0
7,4,100020,240429w,1.0
7,4,100020,240527w,1.0
7,4,100020,240603w,2.0
7,4,100020,240610w,7.0
7,4,100020,240617w,5.0
7,4,100020,240624w,10.0
7,4,100020,240819w,1.0
7,4,100020,240916w,800.0
7,4,100020,240923w,12.0
7,4,100020,241028w,5.0
7,4,100020,241209w,1.0
7,4,100020,250407w,20.0
7,4,100020,250421w,14.0
7,4,100020,250428w,27.0
7,4,100020,250526w,272.0
7,4,100020,250602w,1280.0
7,4,100020,250609w,1132.0
7,4,100020,250616w,2420.0
7,4,100020,250623w,1910.0
7,4,100020,250630w,2172.0
7,4,100020,250707w,1105.0
7,4,100020,250714w,1296.0
7,4,100020,250721w,2970.0
7,4,100020,250728w,2642.0
7,4,100020,250804w,3717.0
7,4,100020,250811w,10.0
7,4,100020,250818w,3957.0
7,4,100020,250825w,1301.0
7,4,100020,250901w,631.0
7,4,100020,250908w,5104.0
7,4,100020,250915w,508.0
7,4,100020,250922w,2870.0
7,4,100020,250929w,2265.0
7,4,100020,251006w,2651.0
7,4,100020,251013w,642.0
7,4,100020,251020w,3335.0
7,4,100020,251027w,1332.0
7,4,100020,251103w,3666.0
7,4,100020,251110w,366.0
7,4,100020,251117w,6485.0
7,4,100020,251124w,3270.0
7,4,100020,251201w,671.0
7,4,100020,251208w,1671.0
7,4,100020,251215w,8177.0
7,4,100021,240212w,16.0
7,4,100021,240429w,1.0
7,4,100021,240527w,1.0
7,4,100021,240603w,2.0
7,4,100021,240610w,4.0
7,4,100021,240617w,5.0
7,4,100021,240624w,10.0
7,4,100021,240805w,80.0
7,4,100021,240819w,1.0
7,4,100021,240916w,600.0
7,4,100021,240923w,22.0
7,4,100021,241014w,10.0
7,4,100021,241028w,5.0
7,4,100021,241209w,1.0
7,4,100021,250421w,16.0
7,4,100021,250428w,19.0
7,4,100021,250526w,261.0
7,4,100021,250602w,1375.0
7,4,100021,250609w,671.0
7,4,100021,250616w,1930.0
7,4,100021,250623w,260.0
7,4,100021,250630w,1461.0
7,4,100021,250707w,985.0
7,4,100021,250714w,1156.0
7,4,100021,250721w,2220.0
7,4,100021,250728w,1612.0
7,4,100021,250804w,2537.0
7,4,100021,250811w,10.0
7,4,100021,250818w,2331.0
7,4,100021,250825w,821.0
7,4,100021,250901w,236.0
7,4,100021,250908w,3400.0
7,4,100021,250915w,561.0
7,4,100021,250922w,827.0
7,4,100021,250929w,1805.0
7,4,100021,251006w,1903.0
7,4,100021,251013w,323.0
7,4,100021,251020w,3325.0
7,4,100021,251027w,797.0
7,4,100021,251103w,2936.0
7,4,100021,251110w,101.0
7,4,100021,251117w,3700.0
7,4,100021,251124w,2910.0
7,4,100021,251201w,496.0
7,4,100021,251208w,1131.0
7,4,100021,251215w,5647.0
7,4,100022,240429w,1.0
7,4,100022,240527w,1.0
7,4,100022,240603w,2.0
7,4,100022,240610w,2.0
7,4,100022,240617w,5.0
7,4,100022,240819w,1.0
7,4,100022,240916w,600.0
7,4,100022,240923w,54.0
7,4,100022,241028w,5.0
7,4,100022,241209w,1.0
7,4,100022,250120w,100.0
7,4,100022,250324w,8.0
7,4,100022,250421w,14.0
7,4,100022,250428w,19.0
7,4,100022,250526w,146.0
7,4,100022,250602w,790.0
7,4,100022,250609w,206.0
7,4,100022,250616w,970.0
7,4,100022,250623w,250.0
7,4,100022,250630w,691.0
7,4,100022,250707w,715.0
7,4,100022,250714w,186.0
7,4,100022,250721w,1390.0
7,4,100022,250728w,682.0
7,4,100022,250804w,1307.0
7,4,100022,250811w,10.0
7,4,100022,250818w,1320.0
7,4,100022,250825w,471.0
7,4,100022,250901w,111.0
7,4,100022,250908w,1914.0
7,4,100022,250915w,293.0
7,4,100022,250922w,564.0
7,4,100022,250929w,735.0
7,4,100022,251006w,195.0
7,4,100022,251013w,309.0
7,4,100022,251020w,1455.0
7,4,100022,251027w,720.0
7,4,100022,251103w,346.0
7,4,100022,251110w,266.0
7,4,100022,251117w,2050.0
7,4,100022,251124w,1655.0
7,4,100022,251201w,236.0
7,4,100022,251208w,431.0
7,4,100022,251215w,2722.0
7,4,100023,240429w,1.0
7,4,100023,240527w,1.0
7,4,100023,240603w,2.0
7,4,100023,240610w,8.0
7,4,100023,240617w,5.0
7,4,100023,240624w,10.0
7,4,100023,240708w,5.0
7,4,100023,240819w,1.0
7,4,100023,240916w,800.0
7,4,100023,240923w,24.0
7,4,100023,241014w,10.0
7,4,100023,241028w,5.0
7,4,100023,241209w,1.0
7,4,100023,250120w,150.0
7,4,100023,250324w,8.0
7,4,100023,250421w,19.0
7,4,100023,250428w,27.0
7,4,100023,250526w,141.0
7,4,100023,250602w,665.0
7,4,100023,250609w,666.0
7,4,100023,250616w,620.0
7,4,100023,250623w,460.0
7,4,100023,250630w,781.0
7,4,100023,250707w,640.0
7,4,100023,250714w,451.0
7,4,100023,250721w,1500.0
7,4,100023,250728w,1292.0
7,4,100023,250804w,1662.0
7,4,100023,250811w,4.0
7,4,100023,250818w,1447.0
7,4,100023,250825w,766.0
7,4,100023,250901w,191.0
7,4,100023,250908w,2144.0
7,4,100023,250915w,478.0
7,4,100023,250922w,405.0
7,4,100023,250929w,1120.0
7,4,100023,251006w,1161.0
7,4,100023,251013w,442.0
7,4,100023,251020w,1305.0
7,4,100023,251027w,737.0
7,4,100023,251103w,1556.0
7,4,100023,251110w,136.0
7,4,100023,251117w,2775.0
7,4,100023,251124w,1665.0
7,4,100023,251201w,316.0
7,4,100023,251208w,946.0
7,4,100023,251215w,3827.0
7,4,100024,240819w,10.0
7,4,100024,250630w,200.0
7,4,100024,250707w,205.0
7,4,100024,250714w,110.0
7,4,100024,250721w,430.0
7,4,100024,250728w,130.0
7,4,100024,250804w,210.0
7,4,100024,250818w,435.0
7,4,100024,250825w,215.0
7,4,100024,250901w,445.0
7,4,100024,250908w,350.0
7,4,100024,250915w,43.0
7,4,100024,250922w,305.0
7,4,100024,250929w,300.0
7,4,100024,251006w,335.0
7,4,100024,251013w,270.0
7,4,100024,251020w,400.0
7,4,100024,251027w,304.0
7,4,100024,251103w,305.0
7,4,100024,251110w,410.0
7,4,100024,251117w,645.0
7,4,100024,251124w,325.0
7,4,100024,251201w,26.0
7,4,100024,251208w,235.0
7,4,100024,251215w,1120.0
7,4,100027,240101w,161.0
7,4,100027,240108w,2275.0
7,4,100027,240115w,525.0
7,4,100027,240122w,155.0
7,4,100027,240129w,3205.0
7,4,100027,240205w,265.0
7,4,100027,240212w,2170.0
7,4,100027,240219w,485.0
7,4,100027,240226w,545.0
7,4,100027,240304w,100.0
7,4,100027,240311w,365.0
7,4,100027,240318w,490.0
7,4,100027,240325w,2250.0
7,4,100027,240401w,455.0
7,4,100027,240408w,255.0
7,4,100027,240415w,520.0
7,4,100027,240422w,4880.0
7,4,100027,240429w,200.0
7,4,100027,240506w,935.0
7,4,100027,240513w,4540.0
7,4,100027,240520w,355.0
7,4,100027,240527w,195.0
7,4,100027,240603w,635.0
7,4,100027,240610w,435.0
7,4,100027,240617w,5005.0
7,4,100027,240624w,560.0
7,4,100027,240701w,2560.0
7,4,100027,240708w,175.0
7,4,100027,240715w,1110.0
7,4,100027,240722w,4795.0
7,4,100027,240729w,1055.0
7,4,100027,240805w,1495.0
7,4,100027,240812w,35.0
7,4,100027,240819w,3475.0
7,4,100027,240826w,430.0
7,4,100027,240902w,365.0
7,4,100027,240909w,685.0
7,4,100027,240916w,5360.0
7,4,100027,240923w,180.0
7,4,100027,240930w,215.0
7,4,100027,241007w,945.0
7,4,100027,241014w,4970.0
7,4,100027,241021w,365.0
7,4,100027,241028w,1180.0
7,4,100027,241104w,445.0
7,4,100027,241111w,3920.0
7,4,100027,241118w,6795.0
7,4,100027,241125w,335.0
7,4,100027,241202w,1685.0
7,4,100027,241209w,75.0
7,4,100027,241216w,3780.0
7,4,100027,241223w,235.0
7,4,100027,250106w,850.0
7,4,100027,250113w,1665.0
7,4,100027,250120w,1275.0
7,4,100027,250127w,365.0
7,4,100027,250203w,730.0
7,4,100027,250210w,2735.0
7,4,100027,250217w,1190.0
7,4,100027,250224w,1035.0
7,4,100027,250303w,3425.0
7,4,100027,250310w,2555.0
7,4,100027,250317w,2575.0
7,4,100027,250324w,375.0
7,4,100027,250331w,2595.0
7,4,100027,250407w,1965.0
7,4,100027,250414w,3515.0
7,4,100027,250421w,5860.0
7,4,100027,250428w,1970.0
7,4,100027,250505w,1740.0
7,4,100027,250512w,425.0
7,4,100027,250519w,1090.0
7,4,100027,250526w,150.0
7,4,100028,240101w,191.0
7,4,100028,240108w,225.0
7,4,100028,240115w,490.0
7,4,100028,240122w,125.0
7,4,100028,240129w,1285.0
7,4,100028,240205w,125.0
7,4,100028,240212w,1150.0
7,4,100028,240219w,300.0
7,4,100028,240226w,335.0
7,4,100028,240304w,410.0
7,4,100028,240311w,90.0
7,4,100028,240318w,485.0
7,4,100028,240325w,2030.0
7,4,100028,240401w,760.0
7,4,100028,240408w,35.0
7,4,100028,240415w,185.0
7,4,100028,240422w,2875.0
7,4,100028,240429w,95.0
7,4,100028,240506w,470.0
7,4,100028,240513w,2150.0
7,4,100028,240520w,260.0
7,4,100028,240527w,50.0
7,4,100028,240603w,430.0
7,4,100028,240610w,180.0
7,4,100028,240617w,4570.0
7,4,100028,240624w,370.0
7,4,100028,240701w,1620.0
7,4,100028,240708w,125.0
7,4,100028,240715w,540.0
7,4,100028,240722w,2485.0
7,4,100028,240729w,820.0
7,4,100028,240805w,850.0
7,4,100028,240812w,25.0
7,4,100028,240819w,2185.0
7,4,100028,240826w,475.0
7,4,100028,240902w,345.0
7,4,100028,240909w,560.0
7,4,100028,240916w,3095.0
7,4,100028,240923w,305.0
7,4,100028,240930w,120.0
7,4,100028,241007w,430.0
7,4,100028,241014w,2620.0
7,4,100028,241021w,315.0
7,4,100028,241028w,1000.0
7,4,100028,241104w,4050.0
7,4,100028,241111w,375.0
7,4,100028,241118w,4790.0
7,4,100028,241125w,250.0
7,4,100028,241202w,1290.0
7,4,100028,241209w,185.0
7,4,100028,241216w,2605.0
7,4,100028,241223w,200.0
7,4,100028,250106w,260.0
7,4,100028,250113w,1150.0
7,4,100028,250120w,1080.0
7,4,100028,250127w,330.0
7,4,100028,250203w,730.0
7,4,100028,250210w,1300.0
7,4,100028,250217w,975.0
7,4,100028,250224w,585.0
7,4,100028,250303w,850.0
7,4,100028,250310w,2045.0
7,4,100028,250317w,1145.0
7,4,100028,250324w,175.0
7,4,100028,250331w,2050.0
7,4,100028,250407w,1705.0
7,4,100028,250414w,1435.0
7,4,100028,250421w,4025.0
7,4,100028,250428w,1255.0
7,4,100028,250505w,1400.0
7,4,100028,250512w,300.0
7,4,100028,250519w,360.0
7,4,100028,250526w,140.0
7,4,100029,240101w,71.0
7,4,100029,240108w,65.0
7,4,100029,240115w,395.0
7,4,100029,240122w,150.0
7,4,100029,240129w,35.0
7,4,100029,240205w,120.0
7,4,100029,240212w,100.0
7,4,100029,240219w,335.0
7,4,100029,240226w,100.0
7,4,100029,240304w,110.0
7,4,100029,240311w,40.0
7,4,100029,240318w,420.0
7,4,100029,240325w,380.0
7,4,100029,240401w,760.0
7,4,100029,240408w,60.0
7,4,100029,240415w,40.0
7,4,100029,240422w,1180.0
7,4,100029,240429w,50.0
7,4,100029,240506w,440.0
7,4,100029,240513w,520.0
7,4,100029,240520w,165.0
7,4,100029,240527w,650.0
7,4,100029,240603w,250.0
7,4,100029,240610w,125.0
7,4,100029,240617w,1020.0
7,4,100029,240624w,710.0
7,4,100029,240701w,1655.0
7,4,100029,240708w,185.0
7,4,100029,240715w,440.0
7,4,100029,240722w,1270.0
7,4,100029,240729w,575.0
7,4,100029,240805w,515.0
7,4,100029,240812w,25.0
7,4,100029,240819w,725.0
7,4,100029,240826w,145.0
7,4,100029,240902w,120.0
7,4,100029,240909w,390.0
7,4,100029,240916w,2225.0
7,4,100029,240923w,100.0
7,4,100029,240930w,75.0
7,4,100029,241007w,280.0
7,4,100029,241014w,1320.0
7,4,100029,241021w,230.0
7,4,100029,241028w,475.0
7,4,100029,241104w,545.0
7,4,100029,241111w,1140.0
7,4,100029,241118w,1765.0
7,4,100029,241125w,60.0
7,4,100029,241202w,740.0
7,4,100029,241209w,30.0
7,4,100029,241216w,1615.0
7,4,100029,241223w,135.0
7,4,100029,250113w,715.0
7,4,100029,250120w,585.0
7,4,100029,250127w,100.0
7,4,100029,250203w,235.0
7,4,100029,250210w,1240.0
7,4,100029,250217w,10.0
7,4,100029,250224w,110.0
7,4,100029,250303w,775.0
7,4,100029,250310w,1260.0
7,4,100029,250317w,680.0
7,4,100029,250324w,185.0
7,4,100029,250331w,800.0
7,4,100029,250407w,795.0
7,4,100029,250414w,460.0
7,4,100029,250421w,2015.0
7,4,100029,250428w,525.0
7,4,100029,250505w,990.0
7,4,100029,250512w,265.0
7,4,100029,250519w,35.0
7,4,100029,250526w,25.0
7,4,100030,240101w,116.0
7,4,100030,240108w,140.0
7,4,100030,240115w,350.0
7,4,100030,240122w,95.0
7,4,100030,240129w,740.0
7,4,100030,240205w,150.0
7,4,100030,240212w,235.0
7,4,100030,240219w,230.0
7,4,100030,240226w,240.0
7,4,100030,240304w,375.0
7,4,100030,240311w,1055.0
7,4,100030,240318w,435.0
7,4,100030,240325w,2190.0
7,4,100030,240401w,355.0
7,4,100030,240408w,80.0
7,4,100030,240415w,490.0
7,4,100030,240422w,1380.0
7,4,100030,240429w,50.0
7,4,100030,240506w,575.0
7,4,100030,240513w,1045.0
7,4,100030,240520w,130.0
7,4,100030,240527w,165.0
7,4,100030,240603w,205.0
7,4,100030,240610w,385.0
7,4,100030,240617w,3230.0
7,4,100030,240624w,445.0
7,4,100030,240701w,945.0
7,4,100030,240708w,140.0
7,4,100030,240715w,480.0
7,4,100030,240722w,1630.0
7,4,100030,240729w,670.0
7,4,100030,240805w,695.0
7,4,100030,240819w,1515.0
7,4,100030,240826w,375.0
7,4,100030,240902w,345.0
7,4,100030,240909w,290.0
7,4,100030,240916w,3200.0
7,4,100030,240923w,190.0
7,4,100030,240930w,125.0
7,4,100030,241007w,275.0
7,4,100030,241014w,2615.0
7,4,100030,241021w,115.0
7,4,100030,241028w,850.0
7,4,100030,241104w,520.0
7,4,100030,241111w,1760.0
7,4,100030,241118w,3120.0
7,4,100030,241125w,115.0
7,4,100030,241202w,785.0
7,4,100030,241209w,255.0
7,4,100030,241216w,1385.0
7,4,100030,241223w,15.0
7,4,100030,250106w,270.0
7,4,100030,250113w,730.0
7,4,100030,250120w,590.0
7,4,100030,250127w,120.0
7,4,100030,250203w,445.0
7,4,100030,250210w,1625.0
7,4,100030,250217w,620.0
7,4,100030,250224w,670.0
7,4,100030,250303w,545.0
7,4,100030,250310w,1175.0
7,4,100030,250317w,570.0
7,4,100030,250324w,150.0
7,4,100030,250331w,1030.0
7,4,100030,250407w,1075.0
7,4,100030,250414w,580.0
7,4,100030,250421w,2715.0
7,4,100030,250428w,1005.0
7,4,100030,250505w,855.0
7,4,100030,250512w,180.0
7,4,100030,250519w,510.0
7,4,100030,250526w,25.0
7,4,100031,250630w,30.0
7,4,100031,250707w,140.0
7,4,100031,250714w,145.0
7,4,100031,250721w,315.0
7,4,100031,250728w,325.0
7,4,100031,250804w,105.0
7,4,100031,250818w,125.0
7,4,100031,250825w,215.0
7,4,100031,250901w,140.0
7,4,100031,250908w,260.0
7,4,100031,250915w,115.0
7,4,100031,250922w,55.0
7,4,100031,250929w,375.0
7,4,100031,251006w,100.0
7,4,100031,251013w,350.0
7,4,100031,251020w,30.0
7,4,100031,251027w,350.0
7,4,100031,251103w,110.0
7,4,100031,251110w,225.0
7,4,100031,251117w,70.0
7,4,100031,251124w,225.0
7,4,100031,251201w,45.0
7,4,100031,251208w,215.0
7,4,100031,251215w,815.0
7,4,100032,250630w,5.0
7,4,100032,250707w,210.0
7,4,100032,250714w,115.0
7,4,100032,250721w,210.0
7,4,100032,250728w,225.0
7,4,100032,250804w,160.0
7,4,100032,250818w,70.0
7,4,100032,250825w,5.0
7,4,100032,250901w,205.0
7,4,100032,250908w,255.0
7,4,100032,250915w,5.0
7,4,100032,250922w,200.0
7,4,100032,250929w,145.0
7,4,100032,251006w,100.0
7,4,100032,251013w,220.0
7,4,100032,251020w,245.0
7,4,100032,251027w,130.0
7,4,100032,251103w,100.0
7,4,100032,251110w,205.0
7,4,100032,251117w,20.0
7,4,100032,251124w,125.0
7,4,100032,251201w,240.0
7,4,100032,251208w,5.0
7,4,100032,251215w,505.0
7,4,100033,250714w,15.0
7,4,100033,250721w,100.0
7,4,100033,250728w,110.0
7,4,100033,250804w,10.0
7,4,100033,250825w,110.0
7,4,100033,250908w,105.0
7,4,100033,250929w,210.0
7,4,100033,251013w,110.0
7,4,100033,251020w,105.0
7,4,100033,251027w,220.0
7,4,100033,251103w,35.0
7,4,100033,251201w,205.0
7,4,100033,251215w,105.0
7,4,100034,240819w,10.0
7,4,100034,250303w,2.0
7,4,100034,250310w,7.0
7,4,100034,250623w,400.0
7,4,100034,250630w,1100.0
7,4,100034,250707w,435.0
7,4,100034,250714w,130.0
7,4,100034,250721w,1840.0
7,4,100034,250728w,625.0
7,4,100034,250804w,2740.0
7,4,100034,250818w,160.0
7,4,100034,250825w,915.0
7,4,100034,250901w,575.0
7,4,100034,250908w,1170.0
7,4,100034,250915w,428.0
7,4,100034,250922w,1230.0
7,4,100034,250929w,410.0
7,4,100034,251006w,1550.0
7,4,100034,251013w,55.0
7,4,100034,251020w,2110.0
7,4,100034,251027w,624.0
7,4,100034,251103w,1215.0
7,4,100034,251110w,1440.0
7,4,100034,251117w,2680.0
7,4,100034,251124w,2080.0
7,4,100034,251201w,136.0
7,4,100034,251208w,690.0
7,4,100034,251215w,3735.0
7,4,100035,240819w,10.0
7,4,100035,241028w,1.0
7,4,100035,250113w,7.0
7,4,100035,250303w,2.0
7,4,100035,250310w,7.0
7,4,100035,250630w,700.0
7,4,100035,250707w,220.0
7,4,100035,250714w,525.0
7,4,100035,250721w,840.0
7,4,100035,250728w,415.0
7,4,100035,250804w,2040.0
7,4,100035,250818w,1025.0
7,4,100035,250825w,315.0
7,4,100035,250901w,490.0
7,4,100035,250908w,1195.0
7,4,100035,250915w,153.0
7,4,100035,250922w,600.0
7,4,100035,250929w,435.0
7,4,100035,251006w,620.0
7,4,100035,251013w,420.0
7,4,100035,251020w,1810.0
7,4,100035,251027w,624.0
7,4,100035,251103w,580.0
7,4,100035,251110w,320.0
7,4,100035,251117w,1815.0
7,4,100035,251124w,1515.0
7,4,100035,251201w,31.0
7,4,100035,251208w,625.0
7,4,100035,251215w,2615.0
7,4,100036,240108w,24.0
7,4,100036,240115w,90.0
7,4,100036,240122w,124.0
7,4,100036,240129w,102.0
7,4,100036,240205w,148.0
7,4,100036,240212w,136.0
7,4,100036,240219w,24.0
7,4,100036,240226w,204.0
7,4,100036,240304w,101.0
7,4,100036,240318w,1.0
7,4,100036,240401w,1450.0
7,4,100036,240415w,2.0
7,4,100036,240429w,11.0
7,4,100036,240603w,2.0
7,4,100036,240610w,3.0
7,4,100036,240624w,1.0
7,4,100036,240708w,10.0
7,4,100036,240715w,101.0
7,4,100036,240729w,108.0
7,4,100036,240805w,4.0
7,4,100036,240812w,100.0
7,4,100036,240909w,2.0
7,4,100036,240923w,5.0
7,4,100036,241007w,100.0
7,4,100036,241021w,1.0
7,4,100036,241028w,5.0
7,4,100036,241111w,4.0
7,4,100036,241202w,6.0
7,4,100036,241216w,16.0
7,4,100036,250106w,3.0
7,4,100036,250113w,8.0
7,4,100036,250120w,61.0
7,4,100036,250127w,2.0
7,4,100036,250217w,1.0
7,4,100036,250224w,97.0
7,4,100036,250310w,6.0
7,4,100036,250331w,50.0
7,4,100036,250825w,3.0
7,4,100036,250922w,2.0
7,4,100036,251027w,40.0
7,4,100037,240108w,12.0
7,4,100037,240115w,90.0
7,4,100037,240122w,100.0
7,4,100037,240129w,102.0
7,4,100037,240205w,124.0
7,4,100037,240212w,36.0
7,4,100037,240226w,280.0
7,4,100037,240304w,101.0
7,4,100037,240318w,1.0
7,4,100037,240401w,1050.0
7,4,100037,240415w,2.0
7,4,100037,240429w,11.0
7,4,100037,240603w,2.0
7,4,100037,240610w,3.0
7,4,100037,240624w,1.0
7,4,100037,240708w,10.0
7,4,100037,240715w,101.0
7,4,100037,240729w,104.0
7,4,100037,240805w,4.0
7,4,100037,240812w,100.0
7,4,100037,240909w,2.0
7,4,100037,240916w,200.0
7,4,100037,240923w,5.0
7,4,100037,241007w,100.0
7,4,100037,241021w,1.0
7,4,100037,241028w,5.0
7,4,100037,241104w,4.0
7,4,100037,241111w,4.0
7,4,100037,241216w,16.0
7,4,100037,250106w,3.0
7,4,100037,250113w,10.0
7,4,100037,250120w,31.0
7,4,100037,250127w,2.0
7,4,100037,250217w,1.0
7,4,100037,250224w,41.0
7,4,100037,250331w,41.0
7,4,100037,250922w,2.0
7,4,100037,251027w,40.0
7,4,100038,241202w,2.0
7,4,100038,241216w,5.0
7,4,100038,250106w,3.0
7,4,100038,250113w,1.0
7,4,100038,250120w,61.0
7,4,100038,250127w,2.0
7,4,100038,250217w,1.0
7,4,100038,250224w,30.0
7,4,100038,250303w,2.0
7,4,100038,250310w,12.0
7,4,100038,250428w,2.0
7,4,100038,250512w,2.0
7,4,100038,250630w,5.0
7,4,100038,250728w,12.0
7,4,100038,250804w,12.0
7,4,100038,250825w,12.0
7,4,100038,250915w,12.0
7,4,100038,250922w,2.0
7,4,100038,251027w,40.0
7,4,100038,251208w,12.0
7,4,100039,241202w,2.0
7,4,100039,241216w,5.0
7,4,100039,250106w,3.0
7,4,100039,250113w,1.0
7,4,100039,250120w,61.0
7,4,100039,250127w,2.0
7,4,100039,250217w,1.0
7,4,100039,250224w,55.0
7,4,100039,250303w,2.0
7,4,100039,250310w,14.0
7,4,100039,250428w,2.0
7,4,100039,250630w,5.0
7,4,100039,250728w,12.0
7,4,100039,250804w,12.0
7,4,100039,250825w,22.0
7,4,100039,250915w,12.0
7,4,100039,250922w,2.0
7,4,100039,251027w,40.0
7,4,100039,251208w,12.0
7,4,100040,240108w,314.0
7,4,100040,240115w,380.0
7,4,100040,240122w,436.0
7,4,100040,240129w,192.0
7,4,100040,240205w,624.0
7,4,100040,240212w,338.0
7,4,100040,240219w,24.0
7,4,100040,240226w,502.0
7,4,100040,240304w,1.0
7,4,100040,240311w,40.0
7,4,100040,240318w,1.0
7,4,100040,240415w,20.0
7,4,100040,240429w,11.0
7,4,100040,240520w,19.0
7,4,100040,240527w,3.0
7,4,100040,240603w,48.0
7,4,100040,240610w,3.0
7,4,100040,240624w,101.0
7,4,100040,240708w,1000.0
7,4,100040,240715w,1.0
7,4,100040,240805w,44.0
7,4,100040,240819w,1.0
7,4,100040,240902w,10000.0
7,4,100040,240909w,2.0
7,4,100040,240923w,5.0
7,4,100040,240930w,32.0
7,4,100040,241021w,1.0
7,4,100040,241028w,5.0
7,4,100040,250106w,1.0
7,4,100040,250113w,1.0
7,4,100040,250120w,1.0
7,4,100040,250127w,1.0
7,4,100040,250203w,1.0
7,4,100040,250217w,1.0
7,4,100040,250616w,2.0
7,4,100040,251006w,50.0
7,4,100040,251103w,56.0
7,4,100041,240108w,412.0
7,4,100041,240115w,380.0
7,4,100041,240122w,212.0
7,4,100041,240129w,192.0
7,4,100041,240205w,248.0
7,4,100041,240212w,526.0
7,4,100041,240219w,24.0
7,4,100041,240226w,90.0
7,4,100041,240304w,1.0
7,4,100041,240311w,40.0
7,4,100041,240318w,1.0
7,4,100041,240415w,20.0
7,4,100041,240429w,11.0
7,4,100041,240520w,19.0
7,4,100041,240527w,3.0
7,4,100041,240603w,27.0
7,4,100041,240610w,3.0
7,4,100041,240624w,101.0
7,4,100041,240708w,1000.0
7,4,100041,240715w,1.0
7,4,100041,240805w,44.0
7,4,100041,240819w,1.0
7,4,100041,240909w,2.0
7,4,100041,240923w,5.0
7,4,100041,240930w,32.0
7,4,100041,241021w,1.0
7,4,100041,241028w,5.0
7,4,100041,250106w,1.0
7,4,100041,250113w,1.0
7,4,100041,250120w,4.0
7,4,100041,250127w,1.0
7,4,100041,250203w,1.0
7,4,100041,250217w,1.0
7,4,100041,250616w,2.0
7,4,100041,250714w,12.0
7,4,100041,251006w,50.0
7,4,100041,251103w,56.0
7,4,100042,241202w,2.0
7,4,100042,241209w,9.0
7,4,100042,241216w,5.0
7,4,100042,241223w,8.0
7,4,100042,250106w,27.0
7,4,100042,250113w,1.0
7,4,100042,250120w,4.0
7,4,100042,250127w,4.0
7,4,100042,250203w,5.0
7,4,100042,250210w,1.0
7,4,100042,250217w,1.0
7,4,100042,250224w,4.0
7,4,100042,250303w,2.0
7,4,100042,250310w,4.0
7,4,100042,250428w,2.0
7,4,100042,250616w,4.0
7,4,100042,250630w,5.0
7,4,100042,250714w,12.0
7,4,100042,250804w,12.0
7,4,100042,250825w,15.0
7,4,100042,250901w,12.0
7,4,100042,250915w,12.0
7,4,100042,251006w,50.0
7,4,100042,251103w,18.0
7,4,100042,251201w,12.0
7,4,100043,241202w,2.0
7,4,100043,241209w,9.0
7,4,100043,241216w,5.0
7,4,100043,241223w,8.0
7,4,100043,250106w,44.0
7,4,100043,250113w,1.0
7,4,100043,250120w,4.0
7,4,100043,250127w,4.0
7,4,100043,250203w,5.0
7,4,100043,250210w,1.0
7,4,100043,250217w,1.0
7,4,100043,250224w,4.0
7,4,100043,250303w,2.0
7,4,100043,250310w,2.0
7,4,100043,250414w,10.0
7,4,100043,250428w,2.0
7,4,100043,250609w,1.0
7,4,100043,250616w,2.0
7,4,100043,250630w,5.0
7,4,100043,250714w,12.0
7,4,100043,250804w,12.0
7,4,100043,250825w,12.0
7,4,100043,250901w,12.0
7,4,100043,250915w,12.0
7,4,100043,251006w,50.0
7,4,100043,251103w,18.0
7,4,100043,251201w,12.0
7,4,100044,240930w,12.0
7,4,100044,241021w,34.0
7,4,100044,241028w,30.0
7,4,100044,241209w,21.0
7,4,100045,240930w,12.0
7,4,100045,241021w,34.0
7,4,100045,241028w,30.0
7,4,100045,241209w,24.0
7,4,100046,240930w,12.0
7,4,100046,241021w,34.0
7,4,100046,241028w,30.0
7,4,100046,250303w,1.0
7,4,100046,250310w,7.0
7,4,100046,250317w,16.0
7,4,100047,240930w,12.0
7,4,100047,241021w,34.0
7,4,100047,241028w,30.0
7,4,100047,250303w,1.0
7,4,100047,250310w,7.0
7,4,100047,250317w,16.0
7,4,100049,240819w,200.0
7,4,100049,240826w,300.0
7,4,100049,240909w,200.0
7,4,100049,240916w,200.0
7,4,100049,240923w,400.0
7,4,100049,240930w,300.0
7,4,100049,241007w,300.0
7,4,100049,241014w,500.0
7,4,100049,241021w,400.0
7,4,100049,241028w,1400.0
7,4,100049,241104w,300.0
7,4,100049,241111w,100.0
7,4,100049,241118w,554.0
7,4,100049,241125w,294.0
7,4,100049,241202w,488.0
7,4,100049,241209w,337.0
7,4,100049,241216w,584.0
7,4,100049,241223w,311.0
